FSJ;NC;
British Indian Ocean Ter;United Kingdom;
US Virgin Islands;United States of America;
Montenegro;Serbia and Montenegro [former];
Sudan (former);Sudan;
French Guiana;France;
Tokelau;New Zealand;
Greenland;Denmark;Maybe Denmark before 2008?
Northern Mariana Is.;United States of America;
Guam;United States of America;
Congo, Dem. Rep. of the;Congo;
Guadeloupe;France;
Martinique;France;
American Samoa;United States of America;
New Caledonia;France;
Réunion;France;
Congo;Congo, Republic of
Fiji;Fiji, Republic of
Falkland Islands (Malvinas);Falkland Is.(Malvinas)
Micronesia (Federated States of);Micronesia,Fed.States of
Iran (Islamic Republic of);Iran (Islamic Rep. of)
Republic of Korea;Korea, Republic of
Other NEI;Other nei
Palestine;Palestine, Occupied Tr.
Ascension, Saint Helena and Tristan da Cunha;Saint Helena
Saint Pierre and Miquelon;France
Union of Soviet Socialist Republics [former];Un. Sov. Soc. Rep.
Turks and Caicos Islands;Turks and Caicos Is.
Türkiye;Turkey
United Republic of Tanzania;Tanzania, United Rep. of
Saint Vincent and the Grenadines;Saint Vincent/Grenadines
Venezuela (Bolivarian Republic of);Venezuela, Boliv Rep of
British Virgin Islands;
Wallis and Futuna Islands;Wallis and Futuna Is.
Yugoslavia SFR [former];Yugoslavia SFR
Congo;Congo, Republic of
German Democratic Republic;
United Kingdom of Great Britain and Northern Ireland;United Kingdom
United States Virgin Islands;United States of America
Democratic Republic of the Congo;"Congo, Republic of"
Serbia and Montenegro [former];Serbia and Montenegro
Mayotte;France
British Indian Ocean Territory [former];UK (territories)
"United Republic of Tanzania, Zanzibar";"Tanzania, United Rep. of"
Ethiopia PDR [former];
Sudan [former];Sudan
"China, Hong Kong SAR";China
Northern Mariana Islands;United States of America
French Polynesia;France
Bahamas;Bahamas
Slovenia (EU);
Singapore;
Belgium;
