Country_FishStatJ	ISO3_Code	Country_GTA	fishing_fleet
Belgium	BEL	Belgium	
Bulgaria	BGR	Bulgaria (EU)	
Croatia	HRV	Croatia (EU)	
Cyprus	CYP	Cyprus (EU)	
Denmark	DNK	Denmark (EU)	
Estonia	EST	Estonia (EU)	
France	FRA	France (EU)	
Germany	DEU	Germany (EU)	
Greece	GRC	Greece (EU)	
Ireland	IRL	Ireland (EU)	
Italy	ITA	Italy (EU)	
Latvia	LVA	Latvia (EU)	
Lithuania	LTU	Lithuania (EU)	
Malta	MLT	Malta (EU)	
Netherlands (Kingdom of the)	NLD	Netherlands (EU)	
Poland	POL	Poland (EU)	
Portugal	PRT	Portugal (EU)	
Romania	ROU	Romania (EU)	
Slovenia	SVN	Slovenia (EU)	
Spain	ESP	Spain (EU)	
Sweden	SWE	Sweden (EU)	
Turkmenistan	TKM	Turkmenistan	
UK (territories)	GBR	United Kingdom	
German Democratic Republic	DEU	Germany (EU)	
Virgin Island	VGB	Virgin Island	UKVGB
	SHN		UKSHN
	SPM		FRSPM
	TCA		UKTCA
